supplier_id,late_delivery_rate,delivery_reliability,avg_lead_time_variance,lead_time_std,lead_time_instability,quality_incident_rate_pct,quality_incidents_per_1000_orders,critical_parts_supplied,critical_part_share,critical_exposure_index,total_order_quantity,order_quantity_share,order_quantity_per_part
SUP001,42.19,57.81,0.17,7.4,-0.48634626504855427,0.46,4.552352048558422,0,0.0,-0.9035644546239147,7839,1.8033167778163741,1119.857142857143
SUP002,71.82,28.180000000000007,2.34,10.91,1.5938216792427644,1.31,13.10615989515072,0,0.0,-0.9035644546239147,15601,3.5889201493447187,2600.1666666666665
SUP003,66.98,33.019999999999996,1.78,9.23,0.7896656152455795,0.95,9.47867298578199,0,0.0,-0.9035644546239147,9558,2.1987628220906883,1593.0
SUP004,43.5,56.5,0.32,6.82,-0.626618955271258,0.91,9.06344410876133,0,0.0,-0.9035644546239147,8703,2.002074999022312,1450.5
SUP005,66.28,33.72,2.1,7.43,0.2961215066991625,0.23,2.293577981651376,3,0.5,1.6543542139989174,4791,1.1021419418954266,798.5
SUP006,68.61,31.39,2.15,7.2,0.2367024934686219,1.64,16.423357664233578,0,0.0,-0.9035644546239147,16781,3.860372349602829,1678.1
SUP007,46.81,53.19,0.32,4.98,-1.2619935282058918,0.24,2.406738868832732,2,0.2222222222222222,0.48498816086526614,10503,2.4161546265346825,1167.0
SUP008,43.95,56.05,0.31,8.87,0.07727063224496211,1.53,15.332197614991482,2,0.3333333333333333,0.8017146577913067,9797,2.2537433948548307,1632.8333333333333
SUP009,69.8,30.200000000000003,2.11,10.17,1.246277682420386,1.69,16.949152542372882,0,0.0,-0.9035644546239147,11741,2.700949392568191,2348.2
SUP010,43.23,56.77,0.22,5.03,-1.2847335315835062,0.86,8.602150537634408,1,0.1111111111111111,-0.20928814687932426,13221,3.0414148640783623,1469.0
SUP011,42.12,57.88,0.32,7.77,-0.29857230076696345,1.24,12.389380530973451,0,0.0,-0.9035644546239147,8563,1.96986880577135,1712.6
SUP012,41.79,58.21,0.21,7.73,-0.35639096993276836,0.69,6.878761822871883,5,0.35714285714285715,2.002234053873965,14886,3.424438519527305,1063.2857142857142
SUP013,68.6,31.400000000000006,2.04,7.17,0.1823369469818093,1.64,16.43598615916955,3,0.23076923076923078,0.8869015483704346,14293,3.2880222866857296,1099.4615384615386
SUP014,69.16,30.840000000000003,2.03,8.37,0.5927111067836603,1.3,13.048635824436536,2,0.2222222222222222,0.48498816086526614,13834,3.1824319816700752,1537.111111111111
SUP015,70.22,29.78,1.89,6.0,-0.28168683161918795,1.45,14.527845036319613,4,0.5714285714285714,2.235513915698493,3536,0.8134364238243014,505.14285714285717
SUP016,66.49,33.510000000000005,1.91,7.23,0.15104838125141457,1.56,15.584415584415584,0,0.0,-0.9035644546239147,5420,1.2468397672872493,1355.0
SUP017,41.27,58.73,0.12,7.2,-0.5754115270146943,0.84,8.422664624808576,0,0.0,-0.9035644546239147,21270,4.893040931771179,1772.5
SUP018,67.71,32.290000000000006,1.82,6.89,-0.002362844929652691,1.81,18.121911037891266,1,0.16666666666666666,-0.050924898416303994,8804,2.0253094670105063,1467.3333333333333
SUP019,43.7,56.3,0.36,5.74,-0.9835539578934254,1.3,13.024602026049203,2,0.25,0.5641697850967763,7604,1.749256382002259,950.5
SUP020,39.72,60.28,0.01,7.49,-0.5192771477737446,1.15,11.547344110854503,0,0.0,-0.9035644546239147,5495,1.2640930851002647,1373.75
SUP021,70.17,29.83,2.28,6.95,0.20238172829815781,1.53,15.296367112810707,2,0.3333333333333333,0.8017146577913067,9353,2.151603753401779,1558.8333333333333
SUP022,44.93,55.07,0.22,7.75,-0.34548416289752565,0.82,8.21917808219178,0,0.0,-0.9035644546239147,10481,2.4110936533095315,1497.2857142857142
SUP023,73.57,26.430000000000007,2.26,9.47,1.0645675200497717,2.5,25.0,2,0.5,1.2768044031803676,2607,0.5997253271804168,651.75
SUP024,67.84,32.16,2.26,9.39,1.036942538617831,1.95,19.488428745432397,0,0.0,-0.9035644546239147,16150,3.7152144357359917,2691.6666666666665
SUP025,69.06,30.939999999999998,2.11,6.82,0.0894815849578732,1.29,12.89134438305709,0,0.0,-0.9035644546239147,7031,1.617441033910821,1406.2
SUP026,70.59,29.409999999999997,1.99,9.25,0.8805836558259765,1.47,14.705882352941176,0,0.0,-0.9035644546239147,10582,2.4343281212977255,1511.7142857142858
SUP027,68.42,31.58,1.96,8.63,0.6544883646966639,1.83,18.30663615560641,0,0.0,-0.9035644546239147,23791,5.472982454526005,2162.818181818182
SUP028,41.11,58.89,0.13,5.69,-1.092832489865316,1.13,11.349306431273645,1,0.125,-0.16969733476356919,13934,3.2054364054207625,1741.75
SUP029,42.69,57.31,0.36,7.24,-0.4655855560445389,1.02,10.23391812865497,1,0.125,-0.16969733476356919,8889,2.0448632271985905,1111.125
SUP030,42.1,57.9,0.19,6.06,-0.9410635806790443,1.11,11.101622544833475,3,0.25,0.9417195959153262,16462,3.7869882378381363,1371.8333333333333
SUP031,44.33,55.67,0.41,8.76,0.07929189954862109,0.5,4.981320049813201,1,0.1111111111111111,-0.20928814687932426,8848,2.0354314134608082,983.1111111111111
SUP032,38.78,61.22,-0.11,6.35,-0.9609398733059912,1.13,11.337868480725623,0,0.0,-0.9035644546239147,5007,1.151831497196911,1001.4
SUP033,96.35,3.6500000000000057,6.47,10.09,2.96289759227281,1.74,17.432646592709986,1,0.14285714285714285,-0.11879486204331269,8272,1.9029259326568497,1181.7142857142858
SUP034,44.46,55.54,0.4,7.91,-0.21822408984300545,1.73,17.301038062283737,2,0.2857142857142857,0.6659747305372893,6349,1.460550863931134,907.0
SUP035,43.78,56.22,0.21,6.32,-0.8432812676707218,0.43,4.291845493562231,1,0.14285714285714285,-0.11879486204331269,10611,2.440999404185425,1515.857142857143
SUP036,42.14,57.86,0.39,7.29,-0.43631825761780296,0.83,8.333333333333334,4,0.5,2.031904024817467,15202,3.497132498579477,1900.25
SUP037,44.18,55.82,0.36,5.04,-1.2252725454229059,1.43,14.251781472684087,1,0.125,-0.16969733476356919,10929,2.51415347171261,1366.125
SUP038,67.43,32.56999999999999,1.86,6.47,-0.13139175073830997,1.55,15.511892450879007,1,0.125,-0.16969733476356919,18714,4.305047860703613,2339.25
SUP039,70.26,29.739999999999995,2.35,8.89,0.9002914597635219,1.63,16.339869281045754,2,0.5,1.2768044031803676,2342,0.5387636042410955,585.5
SUP040,66.26,33.739999999999995,1.99,7.57,0.30045904575522386,1.81,18.10699588477366,1,0.09090909090909091,-0.2668747826840589,16905,3.8888978350536805,1536.8181818181818
